title,link,published
Gold demand hits record high on Trump policy doubts,https://www.bangkokpost.com/business/general/3186140/gold-demand-hits-record-high-on-trump-policy-doubts,2026-01-29 19:45:00+07:00
Vietnam outshines Thai infrastructure,https://www.bangkokpost.com/business/general/3186314/vietnam-outshines-thai-infrastructure,2026-01-30 01:01:00+07:00
"SCG leans on AI, cost control in uncertain times",https://www.bangkokpost.com/business/general/3186319/scg-leans-on-ai-cost-control-in-uncertain-times,2026-01-30 01:01:00+07:00
Bhumjaithai pitches special economic zone vision for Phuket,https://www.bangkokpost.com/business/general/3186374/bhumjaithai-pitches-special-economic-zone-vision-for-phuket,2026-01-30 01:01:00+07:00
"First 90 days: Corruption, debt are key",https://www.bangkokpost.com/business/general/3186419/first-90-days-corruption-debt-are-key,2026-01-30 01:01:00+07:00
Oil plan presses ahead as E85 exits fuel mix,https://www.bangkokpost.com/business/general/3186554/oil-plan-presses-ahead-as-e85-exits-fuel-mix,2026-01-30 04:35:00+07:00
Crypto-backed loans allowed on novel Thai platform,https://www.bangkokpost.com/business/general/3186439/cryptobacked-loans-allowed-on-novel-thai-platform,2026-01-30 06:10:00+07:00
"Jaymart, Singer eye larger slice of B100bn smartphone market",https://www.bangkokpost.com/business/general/3186579/jaymart-singer-eye-larger-slice-of-b100bn-smartphone-market,2026-01-30 06:18:00+07:00
US adds Thailand to currency watchlist,https://www.bangkokpost.com/business/general/3186590/us-adds-thailand-to-currency-watchlist,2026-01-30 07:25:00+07:00
Singapore's aviation showcase to reflect region's defence uncertainties and growth ambitions,https://www.bangkokpost.com/business/general/3186733/singapores-aviation-showcase-to-reflect-regions-defence-uncertainties-and-growth-ambitions,2026-01-30 12:46:00+07:00
