title,link,published
Trump Deal to Avert Major Shutdown Set to Miss Funding Deadline,https://www.bloomberg.com/news/articles/2026-01-29/trump-democrats-make-some-progress-in-talks-to-avert-shutdown,2026-01-29 06:16:17
US Issues License for Oil Companies to Operate in Venezuela,https://www.bloomberg.com/news/articles/2026-01-29/us-issues-license-for-oil-companies-to-operate-in-venezuela,2026-01-29 21:55:52
Stocks Drop With Bonds on Bets Warsh Will Lead Fed: Markets Wrap,https://www.bloomberg.com/news/articles/2026-01-29/stock-market-today-dow-s-p-live-updates,2026-01-29 22:40:22
Adani Pivots to Local Debt With Goal of Raising $10 Billion,https://www.bloomberg.com/news/articles/2026-01-29/adani-pivots-to-local-debt-with-ambition-of-raising-10-billion,2026-01-29 23:00:00
Gold Retreats as Reports on Trump’s Fed Nominee Boost Dollar,https://www.bloomberg.com/news/articles/2026-01-29/gold-resumes-rally-after-dropping-on-thursday-in-choppy-session,2026-01-29 23:29:58
Oil Rally Hits Brakes But Trump’s Iran Focus Looms Over Market,https://www.bloomberg.com/news/articles/2026-01-29/latest-oil-market-news-and-analysis-for-jan-30,2026-01-29 23:38:57
LME Trading Glitch Caps Wild Week for Global Metals Traders,https://www.bloomberg.com/news/articles/2026-01-30/london-metal-exchange-is-said-to-delay-market-opening,2026-01-30 01:25:54
"New World Shares, Bonds Jump as Blackstone in Talks for Stake",https://www.bloomberg.com/news/articles/2026-01-30/new-world-shares-jump-as-blackstone-is-said-to-be-in-stake-talks,2026-01-30 01:37:08
Trump Warns UK on ‘Dangerous’ Moves After Xi-Starmer Talks,https://www.bloomberg.com/news/articles/2026-01-30/trump-warns-uk-on-dangerous-china-moves-after-xi-starmer-talks,2026-01-30 02:01:48
Dollar Rises With US Yields as Trump Set to Choose Warsh for Fed,https://www.bloomberg.com/news/articles/2026-01-30/treasury-yields-rise-on-expectations-warsh-will-be-fed-chair,2026-01-30 02:09:41
Gold’s Record Inflows From Asian ETFs Seen by Some as Warning,https://www.bloomberg.com/news/articles/2026-01-30/gold-s-record-inflows-from-asian-etfs-seen-by-some-as-warning,2026-01-30 02:17:31
Indonesia Exchange CEO Steps Down as MSCI Reform Pressure Mounts,https://www.bloomberg.com/news/articles/2026-01-30/indonesia-stock-exchange-ceo-resigns-after-market-rout,2026-01-30 02:20:19
Bitcoin Slumps to Two-Month Low as US Funds Shed Billions,https://www.bloomberg.com/news/articles/2026-01-30/bitcoin-btc-slumps-to-two-month-low-as-us-funds-shed-billions,2026-01-30 02:25:46
Musk's SpaceX Said to Weigh Tie-Up With Tesla or xAI,https://www.bloomberg.com/news/videos/2026-01-30/musk-s-spacex-said-to-weigh-tie-up-with-tesla-or-xai-video,2026-01-30 02:33:40
India’s Defense Stocks Are Back in the Spotlight on EU Trade Pact,https://www.bloomberg.com/news/newsletters/2026-01-30/defense-stocks-in-spotlight-on-india-eu-trade-deal-labor-code-pangs-for-firms,2026-01-30 02:45:54
Australian Dollar Bulls Pile Into Options as Rate Hike Bets Grow,https://www.bloomberg.com/news/articles/2026-01-30/australian-dollar-bulls-pile-into-options-as-rate-hike-bets-grow,2026-01-30 02:55:37
Hedge Fund Investors Renew China Appetite as US Interest Wanes,https://www.bloomberg.com/news/articles/2026-01-30/hedge-fund-investors-renew-china-appetite-as-us-interest-wanes,2026-01-30 03:01:35
Malaysian Central Bank Rejects Using Ringgit to Help Exports,https://www.bloomberg.com/news/articles/2026-01-30/malaysia-won-t-use-ringgit-to-boost-exports-sees-currency-supported-by-growth,2026-01-30 03:28:41
Copper Sinks as Frenzy in China Ebbs at Close of Turbulent Week,https://www.bloomberg.com/news/articles/2026-01-30/copper-s-wild-week-ends-with-a-retreat-as-frenzy-in-china-ebbs,2026-01-30 03:42:35
"China LNG Imports to Rise for Third Month, Kpler Estimates Show",https://www.bloomberg.com/news/articles/2026-01-30/china-lng-imports-to-rise-for-third-month-kpler-estimates-show,2026-01-30 03:45:28
Japan’s Two-Year Bond Sale Draws Solid Demand as Yields Attract,https://www.bloomberg.com/news/articles/2026-01-30/japan-s-two-year-bond-sale-demand-stronger-than-12-month-average,2026-01-30 03:47:45
The Asia Trade 1/30/2026,https://www.bloomberg.com/news/videos/2026-01-30/the-asia-trade-1-30-2026-video,2026-01-30 04:18:37
Indo-MIM Is Said to Plan Seeking Up to $700 Million in India IPO,https://www.bloomberg.com/news/articles/2026-01-30/indo-mim-is-said-to-plan-seeking-up-to-700-million-in-india-ipo,2026-01-30 04:22:49
Indonesia to Accelerate Market Reforms After MSCI Warning,https://www.bloomberg.com/news/articles/2026-01-30/indonesia-to-make-exchange-a-public-entity-boost-credibility,2026-01-30 04:43:18
Eldridge's Wachsberger Says Borrowing Costs Challenging,https://www.bloomberg.com/news/videos/2026-01-30/eldridge-s-wachsberger-says-borrowing-costs-challenging-video,2026-01-30 04:43:48
