title,link,published
Trading 212 sold crypto-linked securities without authorisation,https://www.ft.com/content/aa086b23-f87c-41d9-a9a8-19758bad918c,2026-01-26 18:25:33
"Dollar sinks to 4-month low and gold soars past $5,000 as yen leaps",https://www.ft.com/content/76fd82ae-8546-49ef-9774-cef6397f131f,2026-01-26 22:57:45
Why Asia’s currencies have slumped against the dollar,https://www.ft.com/content/5aa3d80a-e5f0-48c4-9d90-c3085a8254a4,2026-01-27 04:42:59
US and Japan flirt with joint currency intervention,https://www.ft.com/content/5cc765e7-f269-41a6-aa6e-84526fab990c,2026-01-27 05:00:00
Yen steadies as Takaichi starts Japan election campaign,https://www.ft.com/content/0da606ae-c25a-4d3b-864a-67e898f4b861,2026-01-27 06:46:07
Nomura-backed crypto group Laser Digital seeks US banking licence,https://www.ft.com/content/74b07307-d105-4ce4-9f9d-25b35f242a7e,2026-01-27 17:00:07
Intervention will not reverse yen weakness,https://www.ft.com/content/a36ed1c8-9c13-48cd-beeb-c1e9d4619dca,2026-01-27 18:15:02
Dollar slides as Trump says he is not concerned with its recent decline,https://www.ft.com/content/04c785c0-9ca4-4a85-a279-d95c9d8f1f80,2026-01-28 02:36:40
Tether scores $5bn windfall as gold price rockets,https://www.ft.com/content/329900cb-80e5-4b75-8937-34774430da51,2026-01-28 05:00:16
"ECB would need to act if euro keeps gaining, says Austria’s central bank governor",https://www.ft.com/content/de789f2d-c707-47e2-85e9-8d58a6a9dade,2026-01-28 05:00:25
Swiss central bank under pressure as franc surges to decade high,https://www.ft.com/content/4eb0c9cc-3d81-4860-b59a-7696305ce48f,2026-01-28 05:00:25
Gold climbs to record high after slide in dollar,https://www.ft.com/content/6fcdb700-96d1-4ee4-88fd-b0b4e4a73c0a,2026-01-28 09:51:07
Termites are slowly feasting away at the foundations of the dollar’s dominance,https://www.ft.com/content/093332b0-1502-4668-b4e1-32b7e30cb172,2026-01-28 14:25:05
Bessent says Trump administration still pursuing ‘strong dollar policy’,https://www.ft.com/content/e3fd65cd-a319-4cc1-a74b-5daa7f63799c,2026-01-28 15:42:50
The precious metal feeding frenzy,https://www.ft.com/content/004ad702-c7d1-4f02-9f5d-9194d0dc668b,2026-01-28 16:24:54
Japan’s finance ministry isn’t a massive macro hedge fund,https://www.ft.com/content/b88a384a-4597-4f00-8266-d770ffcaee1e,2026-01-28 18:03:43
"Fed decision as it happened: Central bank holds interest rates steady, Powell signals no rush to loosen policy further as US economy powers ahead",https://www.ft.com/content/beaa0532-6c99-4a4d-b029-d1b5c8dccf51,2026-01-28 18:08:18
Illicit crypto flows surge to record $158bn,https://www.ft.com/content/36869e3e-35d9-4abd-8a41-a7d691be39b2,2026-01-28 18:44:09
US crypto industry raises record war chest for midterm election campaigns,https://www.ft.com/content/78e8d1bd-f0d7-4a02-b30a-b1c4b810d364,2026-01-28 23:06:42
The UK needs to press ahead with digital gilts plan,https://www.ft.com/content/f566f9c7-bd8b-4201-8692-1815dc47860f,2026-01-29 05:00:23
The Fed is done cutting until something changes,https://www.ft.com/content/0c3ef555-00ba-428b-bcf4-d34862788e7c,2026-01-29 06:30:03
Don’t bet on dollar dethronement,https://www.ft.com/content/a3262db1-73b7-4be6-9d02-d67dee0e9830,2026-01-29 14:26:49
The incredible shrinking dollar,https://www.ft.com/content/89e88c16-3766-45f7-83b0-ff30264b4e8a,2026-01-29 21:00:00
Europe needs to put its money where its mouth is,https://www.ft.com/content/1ad4c559-ef18-4a11-8cd0-8e880f25a29f,2026-01-30 05:00:19
Emerging markets make roaring start to 2026 as dollar slides,https://www.ft.com/content/bba310b2-af62-4460-83ed-63cfcc110f1f,2026-01-30 05:00:19
