title,link,published
"UK mortgage approvals fall to lowest since June 2024, BoE data shows",https://www.investing.com/news/economic-indicators/bank-of-england-mortgage-approvals-fall-to-lowest-since-june-2024-4475277,2026-01-30 10:31:29
"Italy December jobless rate stable at 5.6% but 20,000 jobs lost",https://www.investing.com/news/economic-indicators/italy-december-jobless-rate-stable-at-56-but-20000-jobs-lost-4475327,2026-01-30 11:00:29
"US Producer Price Index outperforms forecasts, indicating potential bullish trend for USD",https://www.investing.com/news/economic-indicators/us-producer-price-index-outperforms-forecasts-indicating-potential-bullish-trend-for-usd-93CH-4476106,2026-01-30 13:32:18
"Chicago PMI signals manufacturing sector expansion, surpasses expectations",https://www.investing.com/news/economic-indicators/chicago-pmi-signals-manufacturing-sector-expansion-surpasses-expectations-93CH-4476488,2026-01-30 14:46:13
"Italy grows more than expected in Q4 2025, strengthening outlook for this year",https://www.investing.com/news/economic-indicators/italys-economy-grows-03-qq-in-q4-2025-more-than-expected-4475267,2026-01-30 15:01:31
"Trump to nominate economist Brett Matsumoto to head Bureau Of Labor Statistics, WSJ reports",https://www.investing.com/news/economic-indicators/trump-to-nominate-economist-brett-matsumoto-to-head-bureau-of-labor-statistics-wsj-reports-4477378,2026-01-30 21:49:30
Trump picks veteran economist to replace fired Bureau of Labor Statistics chief,https://www.investing.com/news/economic-indicators/trump-picks-brett-matsumoto-as-next-bureau-of-labor-statistics-chief-4477570,2026-01-31 02:18:08
"South Korea Jan exports beat forecasts, logs sharpest rise since 2021",https://www.investing.com/news/economic-indicators/south-korea-jan-exports-beat-forecasts-logs-sharpest-rise-since-2021-4477677,2026-02-01 00:42:30
"France new car registrations down 6.55% in January, industry body says",https://www.investing.com/news/economic-indicators/france-new-car-registrations-down-655-in-january-industry-body-says-4477680,2026-02-01 01:12:26
Canada’s opposition Conservative Party votes to keep leader Poilievre,https://www.investing.com/news/economic-indicators/canadas-opposition-conservative-party-votes-to-keep-leader-poilievre-4477652,2026-02-01 03:25:37
